"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.066272760E-1,1.936288610E1,-9.906103700E1,2.234632676E3,2.227100098E3,NaN,NaN,1.322785909E-1,2.318300056E1,1.564177990E0,-1.000000000E0
3.512809633E0,1.936174310E1,-9.906138650E1,2.236036071E3,2.228500244E3,NaN,NaN,1.391488833E-1,1.048259964E2,1.905859947E1,-1.000000000E0
4.314720050E0,1.936172236E1,-9.906132481E1,2.253688583E3,2.246152832E3,6.700000167E-1,2.091999969E2,1.447727662E-1,8.026929855E0,2.627678680E1,8.000000000E0
4.728414998E0,1.936171274E1,-9.906137744E1,2.268271472E3,2.260735596E3,2.500000000E-1,2.208999939E2,1.466687317E-1,7.200884819E0,2.377963638E1,1.500000000E1
5.726686351E0,1.936171516E1,-9.906139533E1,2.257254412E3,2.249718506E3,0.000000000E0,NaN,1.474554897E-1,5.523816586E0,1.770935249E1,2.200000000E1
6.727239111E0,1.936171241E1,-9.906140224E1,2.251845985E3,2.244310059E3,0.000000000E0,NaN,1.485009731E-1,5.027563572E0,1.463061047E1,4.100000000E1
7.726830673E0,1.936170587E1,-9.906140940E1,2.251164617E3,2.243628662E3,0.000000000E0,NaN,1.486569652E-1,3.807339907E0,1.115803528E1,4.200000000E1
8.726922705E0,1.936170450E1,-9.906140972E1,2.253061594E3,2.245525635E3,0.000000000E0,NaN,1.490004163E-1,3.790092468E0,9.051815033E0,4.200000000E1
9.727619318E0,1.936170143E1,-9.906140936E1,2.253330887E3,2.245794922E3,0.000000000E0,NaN,1.492592813E-1,3.790092468E0,8.012290955E0,4.300000000E1
1.072660239E1,1.936170193E1,-9.906141177E1,2.250909504E3,2.243373535E3,0.000000000E0,NaN,1.493226958E-1,3.790092468E0,7.259431362E0,4.400000000E1
1.172735234E1,1.936170230E1,-9.906141223E1,2.249542316E3,2.242006348E3,0.000000000E0,NaN,1.495217317E-1,3.790092468E0,6.646275520E0,4.400000000E1
1.272694052E1,1.936170052E1,-9.906141243E1,2.249669274E3,2.242133301E3,0.000000000E0,NaN,1.500869376E-1,3.790092468E0,6.237744331E0,4.400000000E1
1.372692432E1,1.936169576E1,-9.906141054E1,2.250091644E3,2.242555664E3,4.600000083E-1,1.681000061E2,1.506627957E-1,3.790092468E0,5.639950752E0,4.500000000E1
1.472678281E1,1.936169076E1,-9.906140911E1,2.249819924E3,2.242283936E3,4.900000095E-1,1.903000031E2,1.512299374E-1,3.790092468E0,5.147749424E0,4.500000000E1
1.572757968E1,1.936168566E1,-9.906140918E1,2.250011098E3,2.242475098E3,5.299999714E-1,1.905000000E2,1.516984559E-1,3.790092468E0,4.901882172E0,4.500000000E1
1.672734999E1,1.936168149E1,-9.906140982E1,2.249954712E3,2.242418701E3,5.199999809E-1,1.986000061E2,1.518983993E-1,3.790092468E0,4.296470642E0,4.400000000E1
1.772733317E1,1.936167971E1,-9.906141009E1,2.248739628E3,2.241203613E3,4.099999964E-1,1.945000000E2,1.519873193E-1,3.790092468E0,3.949623585E0,4.400000000E1
1.872711843E1,1.936167900E1,-9.906141048E1,2.247966193E3,2.240430176E3,2.899999917E-1,1.905000000E2,1.522100876E-1,3.790092468E0,3.649717093E0,4.300000000E1
1.972681416E1,1.936167706E1,-9.906141101E1,2.247616345E3,2.240080322E3,4.300000072E-1,1.790000000E2,1.524779061E-1,3.790092468E0,3.224035025E0,4.200000000E1
2.072677556E1,1.936167470E1,-9.906141050E1,2.247606828E3,2.240070801E3,4.900000095E-1,1.693000031E2,1.528927958E-1,3.790092468E0,2.963656664E0,4.400000000E1
2.172757343E1,1.936167097E1,-9.906141040E1,2.247563135E3,2.240027100E3,4.799999893E-1,1.868000031E2,1.531150308E-1,3.790092468E0,2.776385069E0,4.500000000E1
2.272704025E1,1.936166983E1,-9.906140866E1,2.247165917E3,2.239629883E3,0.000000000E0,NaN,1.532463944E-1,3.790092468E0,2.745876074E0,4.500000000E1
2.372705364E1,1.936166976E1,-9.906140741E1,2.247037009E3,2.239500977E3,1.700000018E-1,2.008000031E2,1.534620372E-1,3.790092468E0,2.500000000E0,4.500000000E1
2.472660327E1,1.936167118E1,-9.906140601E1,2.247039200E3,2.239503174E3,0.000000000E0,NaN,1.535220985E-1,3.790092468E0,2.500000000E0,4.400000000E1
2.572669067E1,1.936167160E1,-9.906140565E1,2.247039687E3,2.239503662E3,0.000000000E0,NaN,1.535345113E-1,3.790092468E0,2.500000000E0,4.400000000E1
2.672730874E1,1.936167169E1,-9.906140558E1,2.247047499E3,2.239511475E3,0.000000000E0,NaN,1.536382157E-1,3.790092468E0,2.500000000E0,4.300000000E1
2.772673530E1,1.936167250E1,-9.906140509E1,2.246370006E3,2.238833984E3,1.599999964E-1,1.054000015E2,1.536706358E-1,3.790092468E0,2.500000000E0,4.300000000E1
2.872671353E1,1.936167257E1,-9.906140539E1,2.246377330E3,2.238841309E3,0.000000000E0,NaN,1.536791225E-1,3.790092468E0,2.500000000E0,4.400000000E1
2.972680634E1,1.936167263E1,-9.906140544E1,2.246379283E3,2.238843262E3,0.000000000E0,NaN,1.536838717E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.072658369E1,1.936167265E1,-9.906140540E1,2.246381969E3,2.238845947E3,0.000000000E0,NaN,1.536869291E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.172667926E1,1.936167267E1,-9.906140538E1,2.246377574E3,2.238841553E3,0.000000000E0,NaN,1.538693974E-1,3.790092468E0,2.500000000E0,4.500000000E1
3.272670139E1,1.936167103E1,-9.906140544E1,2.246187392E3,2.238651367E3,3.000000119E-1,1.658000031E2,1.543091883E-1,3.790092468E0,2.500000000E0,4.500000000E1
